time,open,high,low,close,volume
2021-01-15 16:43:00,825.07,825.07,825.07,825.07,4375
2021-01-15 16:42:00,825.2,825.2,825.2,825.2,1113
2021-01-15 16:41:00,825.1,825.1,824.96,825.1,1677
2021-01-15 16:40:00,825.0,825.0,824.95,825.0,1942
2021-01-15 16:38:00,825.0801,825.34,825.0801,825.34,954
2021-01-15 16:37:00,825.01,825.01,825.01,825.01,571
2021-01-15 16:36:00,825.16,825.2,825.0,825.0,2747
2021-01-15 16:35:00,825.2,825.2,825.08,825.08,1474
2021-01-15 16:34:00,825.16,825.16,825.16,825.16,944
2021-01-15 16:33:00,824.83,825.19,824.82,825.19,2589
2021-01-15 16:32:00,825.0,825.08,824.99,825.08,1154
2021-01-15 16:31:00,824.98,825.22,824.98,825.22,2584
2021-01-15 16:30:00,824.99,824.99,824.99,824.99,759
2021-01-15 16:29:00,824.89,824.9,824.6,824.87,4523
2021-01-15 16:28:00,825.0,825.0,825.0,825.0,1010
2021-01-15 16:27:00,825.06,826.16,825.0,825.0,3159
2021-01-15 16:26:00,825.48,825.5,825.05,825.05,1768
2021-01-15 16:25:00,824.83,825.67,824.82,825.67,6616
2021-01-15 16:24:00,824.8,824.8,824.5,824.56,3034
2021-01-15 16:23:00,824.95,826.16,824.79,824.79,13735
2021-01-15 16:22:00,824.72,824.93,824.72,824.79,2487
2021-01-15 16:21:00,824.68,824.95,824.68,824.95,2210
2021-01-15 16:20:00,824.74,826.16,824.5,824.59,7437
2021-01-15 16:19:00,824.85,825.0,824.68,824.7,4335
2021-01-15 16:18:00,824.99,824.99,824.75,824.93,4135
2021-01-15 16:17:00,824.84,825.0,824.77,825.0,2894
2021-01-15 16:16:00,825.28,825.28,825.0,825.0,5417
2021-01-15 16:15:00,825.62,826.16,825.5,825.5,2263
2021-01-15 16:14:00,825.5,825.87,825.5,825.87,1303
2021-01-15 16:13:00,825.14,825.5,825.13,825.13,3557
2021-01-15 16:12:00,824.77,826.16,824.7,824.8,10175
2021-01-15 16:11:00,824.73,825.0,824.73,824.77,4805
2021-01-15 16:10:00,824.88,825.01,824.61,824.73,6090
2021-01-15 16:09:00,824.98,825.0,824.84,825.0,6195
2021-01-15 16:08:00,824.96,825.02,824.4,824.87,10558
2021-01-15 16:07:00,824.93,825.15,824.82,825.0,4725
